id;cnae3;dcnae_agr3;provincia;anio;gradvinc;noprotra;noprovin;volneg;fact;num_bancos;pmc;target
432815;474;COMERCIO AL POR MENOR DE EQUIPOS PARA LAS TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES EN ESTABLECIMIENTOS ESPECIALIZADOS;35;2012;1;2;1;966.1;;;4.94;0
158182;464;COMERCIO AL POR MAYOR DE PRODUCTOS DE USO DOMESTICO;33;1993;5;0;0;0;;;95.66;0
597132;563;ESTABLECIMIENTOS DE BEBIDAS;28;2010;5;0;0;0;;;;0
687094;932;ACTIVIDADES RECREATIVAS Y DE ENTRETENIMIENTO;46;2018;5;0;0;949.15;;;;0
761122;683;ACTIVIDADES INMOBILIARIAS POR CUENTA DE TERCEROS;15;2007;4;1;2;58521.18;;;;0
21774;494;TRANSPORTE DE MERCANCIAS POR CARRETERA Y SERVICIOS DE MUDANZA;08;1987;4;0;3;6283.44;;;;0
396907;351;PRODUCCION. TRANSPORTE Y DISTRIBUCION DE ENERGIA ELECTRICA;28;2001;2;3;1;111326.57;;;37.86;0
357308;949;OTRAS ACTIVIDADES ASOCIATIVAS;28;2007;4;0;1;3099.34;;;;0
581923;244;PRODUCCION DE METALES PRECIOSOS Y DE OTROS METALES NO FERREOS;03;1990;5;0;0;0;;;;0
245629;429;CONSTRUCCION DE OTROS PROYECTOS DE INGENIERIA CIVIL;08;2009;5;0;0;0;;;;0
634731;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;28;2016;1;4;1;2003.83;;;240.22;0
150775;411;PROMOCION INMOBILIARIA;50;1997;4;0;2;28701.07;;;274.71;0
772619;431;DEMOLICION Y PREPARACION DE TERRENOS;11;2006;5;0;0;0;;;0.04;0
257662;561;RESTAURANTES Y PUESTOS DE COMIDAS;28;1988;4;1;1;161725.96;;;;0
545519;016;ACTIVIDADES DE APOYO A LA AGRICULTURA. A LA GANADERIA Y DE PREPARACION POSTERIOR A LA COSECHA;46;2011;5;0;0;0;;;;0
533252;551;HOTELES Y ALOJAMIENTOS SIMILARES;33;2000;5;0;0;0;;;;0
826608;620;PROGRAMACION. CONSULTORIA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMATICA;28;2006;5;0;0;-67.87;;;;0
493201;464;COMERCIO AL POR MAYOR DE PRODUCTOS DE USO DOMESTICO;03;1997;4;0;0;96551.6;;;;0
353882;439;OTRAS ACTIVIDADES DE CONSTRUCCION ESPECIALIZADA;41;1999;5;0;0;0;1179.95;1;60.96;1
672249;021;SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES;15;2018;5;0;0;0;;;;0
54564;452;MANTENIMIENTO Y REPARACION DE VEHICULOS DE MOTOR;28;1980;1;4;5;43592.76;50498.45;7;59.15;1
170036;475;COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTOS ESPECIALIZADOS;03;1999;5;0;0;0;;;;0
353101;869;OTRAS ACTIVIDADES SANITARIAS;28;2010;5;0;0;0;1432.49;2;;0
804524;494;TRANSPORTE DE MERCANCIAS POR CARRETERA Y SERVICIOS DE MUDANZA;17;2017;4;0;3;115296.6;;;31.46;0
367793;960;OTROS SERVICIOS PERSONALES;15;2007;5;0;0;0;;;;0
428124;451;VENTA DE VEHICULOS DE MOTOR;52;2013;5;0;0;-147.64;;;;0
430038;620;PROGRAMACION. CONSULTORIA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMATICA;08;2006;5;0;0;0;;;;0
669032;692;ACTIVIDADES DE CONTABILIDAD. TENEDURIA DE LIBROS. AUDITORIA Y ASESORIA FISCAL;29;2014;2;3;0;128.7;;;;0
802459;412;CONSTRUCCION DE EDIFICIOS;03;2007;1;3;5;38209.52;;;31.34;1
94901;451;VENTA DE VEHICULOS DE MOTOR;15;1989;1;3;1;5331.39;17071.8;1;17.4;1
524355;920;ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS;28;2006;5;0;0;0;;;0;0
614881;639;OTROS SERVICIOS DE INFORMACION;41;2014;1;2;2;30065.96;;;;0
831253;461;INTERMEDIARIOS DEL COMERCIO;28;2011;4;0;3;136165.86;;;149.25;0
18198;162;FABRICACION DE PRODUCTOS DE MADERA. CORCHO. CESTERIA Y ESPARTERIA;31;1977;5;0;0;0;;;;0
800;467;OTRO COMERCIO AL POR MAYOR ESPECIALIZADO;07;1988;1;2;1;60207.63;;;;0
341994;562;PROVISION DE COMIDAS PREPARADAS PARA EVENTOS Y OTROS SERVICIOS DE COMIDAS;29;2000;1;4;4;874976.76;3350.69;1;71.98;1
179845;683;ACTIVIDADES INMOBILIARIAS POR CUENTA DE TERCEROS;35;2000;1;4;1;23787.47;;;204.2;0
871178;561;RESTAURANTES Y PUESTOS DE COMIDAS;28;2015;1;2;2;132371.29;60.45;1;;1
36285;561;RESTAURANTES Y PUESTOS DE COMIDAS;28;1949;4;1;0;0;;;;0
624486;691;ACTIVIDADES JURIDICAS;28;2019;5;0;0;0;;;;0
32218;742;ACTIVIDADES DE FOTOGRAFIA;08;1985;5;0;0;0;;;;0
117447;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;23;1988;4;1;0;525.28;;;;0
484717;016;ACTIVIDADES DE APOYO A LA AGRICULTURA. A LA GANADERIA Y DE PREPARACION POSTERIOR A LA COSECHA;48;1988;5;0;0;0;;;;0
359049;467;OTRO COMERCIO AL POR MAYOR ESPECIALIZADO;38;2004;4;1;0;0;;;;0
275391;014;PRODUCCION GANADERA;50;2009;1;4;3;59686.72;;;;0
784570;257;FABRICACION DE ARTICULOS DE CUCHILLERIA Y CUBERTERIA. HERRAMIENTAS Y FERRETERIA;26;2012;1;4;2;50197.22;;;86.76;0
656874;104;FABRICACION DE ACEITES Y GRASAS VEGETALES Y ANIMALES;12;2016;5;0;0;0;;;0;0
298269;631;"PROCESO DE DATOS. HOSTING Y ACTIVIDADES RELACIONADAS; PORTALES WEB";03;2002;4;0;2;130301.59;;;;0
352427;812;ACTIVIDADES DE LIMPIEZA;14;2004;5;0;0;0;;;;0
103089;475;COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTOS ESPECIALIZADOS;25;1985;5;0;0;0;8682.15;1;32.02;0
58712;561;RESTAURANTES Y PUESTOS DE COMIDAS;07;1998;5;0;0;-813.82;;;;0
37982;475;COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTOS ESPECIALIZADOS;48;1984;4;1;2;28041.73;17617.88;2;1.68;1
764003;274;FABRICACION DE LAMPARAS Y APARATOS ELECTRICOS DE ILUMINACION;;1994;4;0;0;3411.83;;;;0
380114;012;CULTIVOS PERENNES;36;1967;5;0;0;0;;;;0
440438;681;COMPRAVENTA DE BIENES INMOBILIARIOS POR CUENTA PROPIA;28;2007;5;0;0;0;;;;0
663980;702;ACTIVIDADES DE CONSULTORIA DE GESTION EMPRESARIAL;08;2010;5;0;0;0;;;276.46;0
384069;245;FUNDICION DE METALES;36;2004;5;0;0;0;;;;0
500769;681;COMPRAVENTA DE BIENES INMOBILIARIOS POR CUENTA PROPIA;17;2002;5;0;0;0;;;;0
59193;466;COMERCIO AL POR MAYOR DE OTRA MAQUINARIA. EQUIPOS Y SUMINISTROS;08;1991;5;0;0;0;;;10.06;0
414095;133;ACABADOS DE TEXTILES;38;2008;4;1;0;0;;;;0
687360;411;PROMOCION INMOBILIARIA;28;2016;2;3;0;973.93;;;;0
241866;494;TRANSPORTE DE MERCANCIAS POR CARRETERA Y SERVICIOS DE MUDANZA;02;2000;1;3;3;187076.22;;;125.01;0
310293;411;PROMOCION INMOBILIARIA;28;1991;5;0;0;0;;;;0
331736;465;COMERCIO AL POR MAYOR DE EQUIPOS PARA LAS TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES;08;2000;5;0;0;0;;;;0
307311;477;COMERCIO AL POR MENOR DE OTROS ARTICULOS EN ESTABLECIMIENTOS ESPECIALIZADOS;35;2005;4;1;0;1804.72;;;;0
778331;493;OTRO TRANSPORTE TERRESTRE DE PASAJEROS;18;1994;5;0;0;0;;;0.32;0
188803;161;ASERRADO Y CEPILLADO DE LA MADERA;45;2000;5;0;0;0;;;;0
680655;463;COMERCIO AL POR MAYOR DE PRODUCTOS ALIMENTICIOS. BEBIDAS Y TABACO;28;2014;1;4;4;19744.24;;;250.64;0
343845;494;TRANSPORTE DE MERCANCIAS POR CARRETERA Y SERVICIOS DE MUDANZA;46;2000;5;0;1;21.88;;;;0
343681;251;FABRICACION DE ELEMENTOS METALICOS PARA LA CONSTRUCCION;46;1999;1;6;6;204329.52;;;116.66;0
432486;467;OTRO COMERCIO AL POR MAYOR ESPECIALIZADO;08;2005;5;0;0;0;;;5.15;0
358938;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;39;2006;1;2;1;16950.85;;;;0
285019;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;08;2003;4;1;1;326934.81;;;;0
718407;681;COMPRAVENTA DE BIENES INMOBILIARIOS POR CUENTA PROPIA;08;2015;1;4;1;2562.57;;;6484.95;0
115124;960;OTROS SERVICIOS PERSONALES;39;1989;1;2;1;113445.09;33050.84;1;0.22;1
350470;439;OTRAS ACTIVIDADES DE CONSTRUCCION ESPECIALIZADA;08;2008;5;0;0;0;;;;0
540792;472;COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS. BEBIDAS Y TABACO EN ESTABLECIMIENTOS ESPECIALIZADOS;29;2004;5;0;0;0;;;;0
17824;132;FABRICACION DE TEJIDOS TEXTILES;23;1971;2;3;0;28855.67;;;438.95;0
215207;476;COMERCIO AL POR MENOR DE ARTICULOS CULTURALES Y RECREATIVOS EN ESTABLECIMIENTOS ESPECIALIZADOS;35;1987;1;3;2;20038.48;6401.23;1;44.53;0
243268;822;ACTIVIDADES DE LOS CENTROS DE LLAMADAS;28;1992;5;0;0;0;;;;0
876424;862;ACTIVIDADES MEDICAS Y ODONTOLOGICAS;36;2020;1;2;2;429213.44;;;;1
615164;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;11;2009;2;2;0;987.32;;;;0
398524;477;COMERCIO AL POR MENOR DE OTROS ARTICULOS EN ESTABLECIMIENTOS ESPECIALIZADOS;20;2008;5;0;0;0;;;;0
204608;479;COMERCIO AL POR MENOR NO REALIZADO NI EN ESTABLECIMIENTOS. NI EN PUESTOS DE VENTA NI EN MERCADILLOS;41;2001;1;4;3;47702.68;;;;0
746841;411;PROMOCION INMOBILIARIA;41;2018;2;3;2;860585.78;;;;0
698046;411;PROMOCION INMOBILIARIA;41;2021;5;0;0;0;;;0.52;0
878662;493;OTRO TRANSPORTE TERRESTRE DE PASAJEROS;52;2023;2;2;0;18572.24;;;;0
341701;811;SERVICIOS INTEGRALES A EDIFICIOS E INSTALACIONES;29;1998;5;0;0;0;;;6.22;0
269085;412;CONSTRUCCION DE EDIFICIOS;28;2008;5;0;0;0;;;3.5;0
557480;692;ACTIVIDADES DE CONTABILIDAD. TENEDURIA DE LIBROS. AUDITORIA Y ASESORIA FISCAL;13;2008;5;0;0;69.46;;;426.91;0
188550;412;CONSTRUCCION DE EDIFICIOS;17;2000;5;0;0;1.95;;;11.71;0
29388;682;ALQUILER DE BIENES INMOBILIARIOS POR CUENTA PROPIA;21;1971;4;1;1;319373.9;;;13.39;0
499120;829;ACTIVIDADES DE APOYO A LAS EMPRESAS;28;1993;4;1;1;457.43;;;195.45;0
587654;581;EDICION DE LIBROS. PERIODICOS Y OTRAS ACTIVIDADES EDITORIALES;28;1999;5;0;0;0;;;;0
76604;152;FABRICACION DE CALZADO;12;1984;5;0;0;0;;;;0
